t,year,epi_week,year_week,reported_cases,reported_deaths,mcv1,mcv2,dropout_model,sia_active,sia_coverage_weekly,sia_coverage_total,sia_age_group,line_list_cases,line_list_deaths,median_age_years,mean_reporting_delay_days,specimen_tested_cases,lab_confirmed_cases,confirmed_lab_or_epi_cases,national_model_quality_flag,usable_for_initial_national_model,national_population,births,weekly_births,crude_death_rate,weekly_mortality_rate,has_demography,demographic_quality_flag
100,2021,47,2021-W47,28,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,46,0,5,3.6,5,4,45,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
101,2021,48,2021-W48,33,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,16,0,6,3.1333333333333333,15,14,16,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
102,2021,49,2021-W49,53,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,26,0,10.708333333333332,7.3,10,9,25,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
103,2021,50,2021-W50,74,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,39,2,12,7.285714285714286,21,21,39,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
104,2021,51,2021-W51,163,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,78,0,5,4.2,10,10,78,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
105,2021,52,2021-W52,66,0,0.5349653361601701,0.4959119935321235,0.07300163204659267,FALSE,0,0,NA,155,0,7,6.25,8,8,155,contains_adjusted_vaccination_inputs,TRUE,122138588,4015628,77223.61538461539,0.00664,1.276923076923077e-4,TRUE,ok
106,2022,1,2022-W01,58,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,337,0,5,8.5,20,19,336,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
107,2022,2,2022-W02,70,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,165,3,4,5.4,10,10,165,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
108,2022,3,2022-W03,50,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,249,6,5,11.5,8,8,249,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
109,2022,4,2022-W04,134,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,395,3,5,7.32,27,26,394,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
110,2022,5,2022-W05,154,2,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,248,1,6,4.6521739130434785,25,25,248,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
111,2022,6,2022-W06,774,12,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,252,0,18,7.15,20,19,251,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
112,2022,7,2022-W07,100,2,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,155,1,4,4.25,16,15,154,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
113,2022,8,2022-W08,254,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,69,0,5,6.5,12,11,68,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
114,2022,9,2022-W09,146,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,119,2,6,6.083333333333333,24,20,115,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
115,2022,10,2022-W10,313,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,164,1,5,4.217391304347826,46,43,161,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
116,2022,11,2022-W11,120,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,223,0,7,6.545454545454546,22,20,221,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
117,2022,12,2022-W12,261,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,192,3,7,12.307692307692308,26,21,187,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
118,2022,13,2022-W13,282,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,166,3,7,5.111111111111111,18,15,163,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
119,2022,14,2022-W14,310,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,178,2,8,3.590909090909091,22,20,176,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
120,2022,15,2022-W15,324,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,108,0,5,2.8846153846153846,26,25,107,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
121,2022,16,2022-W16,170,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,62,1,3.75,3.5454545454545454,11,10,61,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
122,2022,17,2022-W17,163,5,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,111,6,7,5.333333333333333,9,8,110,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
123,2022,18,2022-W18,190,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,185,3,5,2.636363636363636,11,8,182,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
124,2022,19,2022-W19,365,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,101,2,5,3,3,3,101,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
125,2022,20,2022-W20,294,4,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,172,2,4,NA,0,0,172,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
126,2022,21,2022-W21,370,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,127,5,5,NA,0,0,127,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
127,2022,22,2022-W22,226,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,73,0,7,15.75,8,8,73,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
128,2022,23,2022-W23,152,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,218,6,7,10,4,3,217,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
129,2022,24,2022-W24,279,4,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,82,0,6,12.77777777777778,9,9,82,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
130,2022,25,2022-W25,169,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,61,0,5,5.592592592592593,27,22,56,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
131,2022,26,2022-W26,102,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,109,1,7,4.821428571428571,28,25,106,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
132,2022,27,2022-W27,131,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,72,0,5,12.25,20,17,69,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
133,2022,28,2022-W28,130,3,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,84,0,10,3.84,26,24,82,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
134,2022,29,2022-W29,132,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,84,0,7,10.785714285714286,15,13,82,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
135,2022,30,2022-W30,145,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,166,1,7,5.166666666666667,18,18,166,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
136,2022,31,2022-W31,267,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,270,0,4,4.966666666666667,30,28,268,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
137,2022,32,2022-W32,298,2,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,187,1,4,5.117647058823529,18,17,186,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
138,2022,33,2022-W33,362,8,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,169,0,4,5.428571428571429,21,19,167,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
139,2022,34,2022-W34,366,5,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,247,1,6,6.111111111111111,18,17,246,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
140,2022,35,2022-W35,398,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,152,1,5,5.142857142857143,14,12,150,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
141,2022,36,2022-W36,269,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,79,0,4,5.892857142857143,28,25,76,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
142,2022,37,2022-W37,342,3,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,427,0,20,6.9523809523809526,21,19,425,contains_geo_week_deaths_exceed_cases,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
143,2022,38,2022-W38,196,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,75,0,5,5.0285714285714285,35,34,74,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
144,2022,39,2022-W39,207,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,88,0,4.5,5.352941176470588,17,16,87,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
145,2022,40,2022-W40,190,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,100,0,4,4.962962962962963,27,26,99,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
146,2022,41,2022-W41,221,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,113,1,6,7.272727272727272,22,21,112,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
147,2022,42,2022-W42,277,4,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,197,4,5,7.454545454545454,23,22,196,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
148,2022,43,2022-W43,371,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,247,2,4,4.34375,32,27,242,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
149,2022,44,2022-W44,420,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,144,1,4,4.193548387096774,31,30,143,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
150,2022,45,2022-W45,343,1,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,308,0,5,3.740740740740741,27,27,308,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
151,2022,46,2022-W46,379,5,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,268,3,5,6.078431372549019,51,50,267,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
152,2022,47,2022-W47,430,0,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,196,4,4,4.310344827586207,29,29,196,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
153,2022,48,2022-W48,637,4,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,213,2,5,4.125,32,31,212,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
154,2022,49,2022-W49,653,3,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,143,0,4,4.413043478260869,46,46,143,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
155,2022,50,2022-W50,599,10,0.6288637774358907,0.5744607284309926,0.08651006936147505,FALSE,0,0,NA,95,0,3,2.590909090909091,22,22,95,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
156,2022,51,2022-W51,666,3,0.6288637774358907,0.5744607284309926,0.08651006936147505,TRUE,0.4923999999999999,0.9848,9–59 months,15,0,4,2.2,15,15,15,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
157,2022,52,2022-W52,713,7,0.6288637774358907,0.5744607284309926,0.08651006936147505,TRUE,0.4923999999999999,0.9848,9–59 months,93,3,6,2.857142857142857,7,7,93,contains_adjusted_vaccination_inputs,TRUE,125384287,4064582,78165.03846153847,0.00609,1.1711538461538462e-4,TRUE,ok
158,2023,1,2023-W01,475,7,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,114,0,4,4.384615384615385,26,25,113,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
159,2023,2,2023-W02,531,4,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,120,0,7,3.6666666666666665,30,29,119,contains_geo_week_deaths_exceed_cases,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
160,2023,3,2023-W03,332,1,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,268,4,7,5.473684210526316,19,19,268,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
161,2023,4,2023-W04,391,1,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,454,0,5,4.242424242424242,33,33,454,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
162,2023,5,2023-W05,432,0,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,323,3,5,3.88,25,24,322,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
163,2023,6,2023-W06,490,1,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,249,2,5,3.9607843137254903,51,49,247,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
164,2023,7,2023-W07,452,6,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,236,1,4,2.782608695652174,46,42,232,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
165,2023,8,2023-W08,466,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,140,1,5,4.769230769230769,39,39,140,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
166,2023,9,2023-W09,519,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,175,2,4,9.288461538461538,52,48,171,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
167,2023,10,2023-W10,515,0,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,127,2,6,4.916666666666667,24,23,126,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
168,2023,11,2023-W11,558,1,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,237,2,5,5,56,56,237,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
169,2023,12,2023-W12,625,5,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,268,5,5,5.178571428571429,56,56,268,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
170,2023,13,2023-W13,812,19,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,314,9,4,5.056603773584905,53,51,312,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
171,2023,14,2023-W14,887,4,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,213,14,5,8.90625,32,29,210,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
172,2023,15,2023-W15,878,3,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,245,2,4,4.886792452830188,53,53,245,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
173,2023,16,2023-W16,856,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,251,0,6,4.317460317460317,63,61,249,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
174,2023,17,2023-W17,679,5,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,248,1,9,5.037735849056604,53,52,247,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
175,2023,18,2023-W18,694,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,287,1,8.916666666666668,6.69620253164557,79,77,285,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
176,2023,19,2023-W19,888,7,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,317,1,7,4.34375,64,62,315,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
177,2023,20,2023-W20,863,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,459,1,7,3.4155844155844157,83,83,459,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
178,2023,21,2023-W21,936,8,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,275,2,6,4.709677419354839,62,60,273,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
179,2023,22,2023-W22,716,6,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,347,1,4,4.887096774193548,62,59,344,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
180,2023,23,2023-W23,771,4,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,240,1,6,4.142857142857143,42,41,239,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
181,2023,24,2023-W24,722,7,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,207,1,5.916666666666667,3.4827586206896552,29,28,206,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
182,2023,25,2023-W25,612,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,190,0,5,3.547619047619047,42,41,189,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
183,2023,26,2023-W26,622,4,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,139,2,4,4.225806451612903,31,30,138,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
184,2023,27,2023-W27,530,0,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,172,3,4,4.633333333333334,30,29,171,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
185,2023,28,2023-W28,417,3,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,318,1,4,4.413043478260869,48,48,318,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
186,2023,29,2023-W29,541,1,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,329,2,4,4.446428571428571,56,56,329,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
187,2023,30,2023-W30,554,4,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,160,0,3,3.533333333333333,62,62,160,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
188,2023,31,2023-W31,388,0,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,165,3,4,4.725,41,40,164,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
189,2023,32,2023-W32,360,3,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,168,1,3,4.205128205128205,39,38,167,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
190,2023,33,2023-W33,289,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,271,0,3,5.454545454545454,33,33,271,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
191,2023,34,2023-W34,274,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,843,4,4,4.5227272727272725,44,44,843,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
192,2023,35,2023-W35,304,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,1521,3,3,4.742857142857143,36,36,1521,contains_geo_week_deaths_exceed_cases,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
193,2023,36,2023-W36,252,0,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,671,1,3,3.3157894736842106,19,19,671,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
194,2023,37,2023-W37,304,1,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,662,4,4,5.602941176470588,68,65,659,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
195,2023,38,2023-W38,284,0,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,461,5,5,4.617021276595745,47,44,458,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
196,2023,39,2023-W39,284,3,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,441,2,5,4.042253521126761,71,70,440,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
197,2023,40,2023-W40,306,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,592,3,4,4.010526315789473,95,94,591,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
198,2023,41,2023-W41,531,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,893,4,4,4.327102803738318,111,108,890,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
199,2023,42,2023-W42,459,2,0.6979080154586969,0.673036176482345,0.03563770357330673,FALSE,0,0,NA,918,8,5,4.385542168674699,83,82,917,contains_adjusted_vaccination_inputs,TRUE,128691692,4105686,78955.5,0.00596,1.1461538461538461e-4,TRUE,ok
